run_kind,run_index,seed,step,operation,actor_seat,revision_before,revision_after,reference_rule_ns,authority_handle_ns,serial_codec_fanout_ns,host_local_deliveries,remote_deliveries,remote_server_payload_bytes,remote_client_payload_bytes
"warmup","0","20260910","0","INITIAL","0","0","0",,"6887342","296686","1","0","0","0"
"warmup","0","20260910","1","JOIN","1","0","1",,"4140937","11697407","1","1","599","192"
"warmup","0","20260910","2","JOIN","2","1","2",,"80571","3329537","1","2","1225","192"
"warmup","0","20260910","3","JOIN","3","2","3",,"97663","4893698","1","3","1998","193"
"warmup","0","20260910","4","JOIN","4","3","4",,"113893","5422637","1","4","2917","193"
"warmup","0","20260910","5","JOIN","5","4","5",,"134321","6001522","1","5","3982","193"
"warmup","0","20260910","6","READY","1","5","6",,"2112757","8543704","1","6","4014","163"
"warmup","0","20260910","7","READY","2","6","7",,"87844","6402774","1","6","4009","163"
"warmup","0","20260910","8","READY","3","7","8",,"128802","6256710","1","6","4004","163"
"warmup","0","20260910","9","READY","4","8","9",,"89858","5123558","1","6","3999","163"
"warmup","0","20260910","10","READY","5","9","10",,"85400","4893437","1","6","4000","163"
"warmup","0","20260910","11","START_GAME","0","10","11","8488010","3119543","12415497","2","5","8655","0"
"warmup","0","20260910","12","PLAY_ONE","0","11","12","1479782","1279256","8252769","2","5","8788","0"
"warmup","0","20260910","13","PLAY_ONE","1","12","13","53561","367047","7637667","1","6","8913","172"
"warmup","0","20260910","14","PLAY_ONE","2","13","14","54292","386254","6650658","1","6","8883","172"
"warmup","0","20260910","15","PLAY_ONE","3","14","15","51426","268854","6127387","1","6","8854","172"
"warmup","0","20260910","16","PLAY_ONE","4","15","16","57207","273312","5831113","1","6","8825","172"
"warmup","0","20260910","17","PLAY_ONE","5","16","17","54041","290114","4729980","1","6","8798","172"
"warmup","0","20260910","18","CHALLENGE","0","17","18","1464103","260608","4997251","2","5","9513","0"
"warmup","0","20260910","19","ADVANCE_ROUND","0","18","19","444713","433913","5301580","2","5","9638","0"
"warmup","0","20260910","20","PLAY_ONE","1","19","20","53690","413635","4752091","1","6","9898","172"
"warmup","0","20260910","21","CHALLENGE","2","20","21","22101","200255","4664167","1","6","9785","151"
"warmup","0","20260910","22","ADVANCE_ROUND","0","21","22","190457","350507","4068311","2","5","9638","0"
"warmup","0","20260910","23","PLAY_ONE","2","22","23","49031","244027","3897772","1","6","9898","172"
"warmup","0","20260910","24","CHALLENGE","3","23","24","61304","211276","4071436","1","6","9656","151"
"warmup","0","20260910","25","ADVANCE_ROUND","0","24","25","677289","521957","3962993","2","5","9474","0"
"warmup","0","20260910","26","PLAY_ONE","3","25","26","67096","259947","4273275","1","6","9733","172"
"warmup","0","20260910","27","CHALLENGE","4","26","27","18545","155471","3588713","1","6","9625","151"
"warmup","0","20260910","28","ADVANCE_ROUND","0","27","28","137668","289593","3260608","2","5","9479","0"
"warmup","0","20260910","29","PLAY_ONE","4","28","29","60874","208170","3518200","1","6","9738","172"
"warmup","0","20260910","30","CHALLENGE","5","29","30","19457","158537","2944836","1","6","9625","151"
"warmup","0","20260910","31","ADVANCE_ROUND","0","30","31","114795","300834","3310511","2","5","9482","0"
"warmup","0","20260910","32","PLAY_ONE","5","31","32","36207","215814","3420317","1","6","9744","172"
"warmup","0","20260910","33","CHALLENGE","0","32","33","23124","131947","3014898","2","5","9345","0"
"warmup","0","20260910","34","ADVANCE_ROUND","0","33","34","119424","236182","2690720","2","5","9324","0"
"warmup","0","20260910","35","PLAY_ONE","0","34","35","39735","146985","2706800","2","5","9457","0"
"warmup","0","20260910","36","CHALLENGE","1","35","36","24546","110798","2833427","1","6","9340","151"
"warmup","0","20260910","37","ADVANCE_ROUND","0","36","37","115076","229279","2804222","2","5","9162","0"
"warmup","0","20260910","38","PLAY_ONE","3","37","38","30898","127860","4257215","1","6","9422","172"
"warmup","0","20260910","39","CHALLENGE","4","38","39","19296","98655","2554925","1","6","9314","151"
"warmup","0","20260910","40","ADVANCE_ROUND","0","39","40","118933","270927","2250286","2","5","9163","0"
"warmup","0","20260910","41","PLAY_ONE","4","40","41","29154","158557","2898479","1","6","9425","172"
"warmup","0","20260910","42","CHALLENGE","0","41","42","17884","161402","2638562","2","5","9155","0"
"warmup","0","20260910","43","ADVANCE_ROUND","0","42","43","109806","214842","2676514","2","5","9186","0"
"warmup","0","20260910","44","PLAY_ONE","0","43","44","31118","190737","2835391","2","5","9319","0"
"warmup","0","20260910","45","CHALLENGE","3","44","45","19076","107862","2301791","1","6","9376","151"
"warmup","0","20260910","46","ADVANCE_ROUND","0","45","46","120235","190036","3232385","2","5","9190","0"
"warmup","0","20260910","47","PLAY_ONE","3","46","47","34004","100518","2387943","1","6","9449","173"
"warmup","0","20260910","48","CHALLENGE","4","47","48","25087","93235","2263700","1","6","9165","151"
"warmup","0","20260910","49","ADVANCE_ROUND","0","48","49","162235","141235","2126213","2","5","9021","0"
"warmup","0","20260910","50","PLAY_ONE","0","49","50","28944","86232","2299767","2","5","9154","0"
"warmup","0","20260910","51","CHALLENGE","3","50","51","19847","84628","2059138","1","6","9206","151"
"warmup","0","20260910","52","ADVANCE_ROUND","0","51","52","108232","123301","2311389","2","5","9035","0"
"warmup","0","20260910","53","PLAY_ONE","3","52","53","54261","95029","2205581","1","6","9295","173"
"warmup","0","20260910","54","CHALLENGE","0","53","54","21100","79379","2107047","2","5","9005","0"
"warmup","1","20260910","0","INITIAL","0","0","0",,"7033","3136","1","0","0","0"
"warmup","1","20260910","1","JOIN","1","0","1",,"69210","421109","1","1","599","192"
"warmup","1","20260910","2","JOIN","2","1","2",,"71464","502842","1","2","1225","192"
"warmup","1","20260910","3","JOIN","3","2","3",,"67897","635430","1","3","1998","193"
"warmup","1","20260910","4","JOIN","4","3","4",,"71234","1011986","1","4","2917","193"
"warmup","1","20260910","5","JOIN","5","4","5",,"138119","1162568","1","5","3982","193"
"warmup","1","20260910","6","READY","1","5","6",,"43973","1130969","1","6","4014","163"
"warmup","1","20260910","7","READY","2","6","7",,"38372","1132872","1","6","4009","163"
"warmup","1","20260910","8","READY","3","7","8",,"40767","1144875","1","6","4004","163"
"warmup","1","20260910","9","READY","4","8","9",,"50965","1083720","1","6","3999","163"
"warmup","1","20260910","10","READY","5","9","10",,"41318","1237578","1","6","4000","163"
"warmup","1","20260910","11","START_GAME","0","10","11","150061","159318","1978275","2","5","8655","0"
"warmup","1","20260910","12","PLAY_ONE","0","11","12","27973","82515","2059388","2","5","8788","0"
"warmup","1","20260910","13","PLAY_ONE","1","12","13","30527","129492","2570986","1","6","8913","172"
"warmup","1","20260910","14","PLAY_ONE","2","13","14","35887","83797","2089915","1","6","8883","172"
"warmup","1","20260910","15","PLAY_ONE","3","14","15","28824","85461","1966574","1","6","8854","172"
"warmup","1","20260910","16","PLAY_ONE","4","15","16","30106","92143","2124780","1","6","8825","172"
"warmup","1","20260910","17","PLAY_ONE","5","16","17","32721","81894","1924725","1","6","8798","172"
