run_kind,run_index,seed,suite,authority_steps,game_commands
"warmup","0","20260910","authority_codec","55","44"
"warmup","1","20260910","authority_codec","55","44"
"sample","0","20260910","authority_codec","55","44"
"sample","1","20260910","authority_codec","55","44"
"sample","2","20260910","authority_codec","55","44"
"sample","3","20260910","authority_codec","55","44"
"sample","4","20260910","authority_codec","55","44"
"warmup","0","20260910","real_tls",,"43"
"warmup","1","20260910","real_tls",,"43"
"sample","0","20260910","real_tls",,"43"
"sample","1","20260910","real_tls",,"43"
"sample","2","20260910","real_tls",,"43"
"sample","3","20260910","real_tls",,"43"
"sample","4","20260910","real_tls",,"43"
