run_kind,run_index,seed,step,operation,seat,reference_rule_view_ns
"warmup","0","20260910","11","START_GAME","0","24797"
"warmup","0","20260910","11","START_GAME","1","28573"
"warmup","0","20260910","11","START_GAME","2","24606"
"warmup","0","20260910","11","START_GAME","3","26370"
"warmup","0","20260910","11","START_GAME","4","57588"
"warmup","0","20260910","11","START_GAME","5","16301"
"warmup","0","20260910","12","PLAY_ONE","0","20779"
"warmup","0","20260910","12","PLAY_ONE","1","47309"
"warmup","0","20260910","12","PLAY_ONE","2","21671"
"warmup","0","20260910","12","PLAY_ONE","3","19616"
"warmup","0","20260910","12","PLAY_ONE","4","20689"
"warmup","0","20260910","12","PLAY_ONE","5","21630"
"warmup","0","20260910","13","PLAY_ONE","0","19707"
"warmup","0","20260910","13","PLAY_ONE","1","25307"
"warmup","0","20260910","13","PLAY_ONE","2","22923"
"warmup","0","20260910","13","PLAY_ONE","3","21039"
"warmup","0","20260910","13","PLAY_ONE","4","22652"
"warmup","0","20260910","13","PLAY_ONE","5","25958"
"warmup","0","20260910","14","PLAY_ONE","0","21680"
"warmup","0","20260910","14","PLAY_ONE","1","21470"
"warmup","0","20260910","14","PLAY_ONE","2","17903"
"warmup","0","20260910","14","PLAY_ONE","3","21150"
"warmup","0","20260910","14","PLAY_ONE","4","20459"
"warmup","0","20260910","14","PLAY_ONE","5","20197"
"warmup","0","20260910","15","PLAY_ONE","0","23664"
"warmup","0","20260910","15","PLAY_ONE","1","22803"
"warmup","0","20260910","15","PLAY_ONE","2","20769"
"warmup","0","20260910","15","PLAY_ONE","3","26580"
"warmup","0","20260910","15","PLAY_ONE","4","20449"
"warmup","0","20260910","15","PLAY_ONE","5","22773"
"warmup","0","20260910","16","PLAY_ONE","0","27120"
"warmup","0","20260910","16","PLAY_ONE","1","21270"
"warmup","0","20260910","16","PLAY_ONE","2","21130"
"warmup","0","20260910","16","PLAY_ONE","3","72947"
"warmup","0","20260910","16","PLAY_ONE","4","21580"
