run_kind,run_index,seed,phase,seat,elapsed_ns,revision_before,revision_after,accepted_commands,sent_messages,sent_payload_bytes,received_messages,received_payload_bytes
"warmup","0","20260910","IDLE","0","1000467147","11","11","0","0","0","0","0"
"warmup","0","20260910","IDLE","1","1000467147","11","11","0","0","0","0","0"
"warmup","0","20260910","IDLE","2","1000467147","11","11","0","0","0","0","0"
"warmup","0","20260910","IDLE","3","1000467147","11","11","0","0","0","0","0"
"warmup","0","20260910","IDLE","4","1000467147","11","11","0","0","0","0","0"
"warmup","0","20260910","IDLE","5","1000467147","11","11","0","0","0","0","0"
"warmup","0","20260910","ACTIVE","0","475710485","11","54","43","238","401495","23","3769"
"warmup","0","20260910","ACTIVE","1","475710485","11","54","43","3","495","46","79548"
"warmup","0","20260910","ACTIVE","2","475710485","11","54","43","3","495","46","77830"
"warmup","0","20260910","ACTIVE","3","475710485","11","54","43","8","1315","51","83030"
"warmup","0","20260910","ACTIVE","4","475710485","11","54","43","6","969","49","81827"
"warmup","0","20260910","ACTIVE","5","475710485","11","54","43","3","495","46","79260"
"warmup","1","20260910","IDLE","0","1000376921","11","11","0","0","0","0","0"
"warmup","1","20260910","IDLE","1","1000376921","11","11","0","0","0","0","0"
"warmup","1","20260910","IDLE","2","1000376921","11","11","0","0","0","0","0"
"warmup","1","20260910","IDLE","3","1000376921","11","11","0","0","0","0","0"
"warmup","1","20260910","IDLE","4","1000376921","11","11","0","0","0","0","0"
"warmup","1","20260910","IDLE","5","1000376921","11","11","0","0","0","0","0"
"warmup","1","20260910","ACTIVE","0","448157383","11","54","43","238","401495","23","3769"
"warmup","1","20260910","ACTIVE","1","448157383","11","54","43","3","495","46","79548"
"warmup","1","20260910","ACTIVE","2","448157383","11","54","43","3","495","46","77830"
"warmup","1","20260910","ACTIVE","3","448157383","11","54","43","8","1315","51","83030"
"warmup","1","20260910","ACTIVE","4","448157383","11","54","43","6","969","49","81827"
"warmup","1","20260910","ACTIVE","5","448157383","11","54","43","3","495","46","79260"
"sample","0","20260910","IDLE","0","1000303564","11","11","0","0","0","0","0"
"sample","0","20260910","IDLE","1","1000303564","11","11","0","0","0","0","0"
