    PID    PPID COMMAND           RSS %CPU
   1970    1967 provjobd3204082 151368 2.5
   2024    2005 Runner.Worker   139096 7.0
   2005    1953 Runner.Listener 94316  2.0
   1114       1 dockerd         73044  0.3
    894       1 php-fpm8.3      51660  0.1
    223       1 multipathd      43712  0.0
    974       1 containerd      43580  0.1
   1289     928 python3         37304  1.1
    928       1 python3         31072  0.3
   1155     894 php-fpm8.3      21368  0.0
   1164     894 php-fpm8.3      21368  0.0
    892       1 networkd-dispat 21256  0.1
    156       1 systemd-journal 17640  0.5
   1953       1 hosted-compute- 17204  0.0
      1       0 systemd         14360  3.8
    927       1 udisksd         13748  0.0
    521       1 systemd-resolve 13180  0.1
   1064       1 ModemManager    12848  0.1
   1044       1 systemd         11440  0.2
    925       1 systemd-logind   9812  0.1
    721       1 systemd-network  9720  0.0
    899       1 polkitd          8172  0.0
    229       1 systemd-udevd    7976  0.2
   1967    1953 sudo             7076  0.0
   1047       1 rsyslogd         6340  0.0
    887       1 dbus-daemon      5580  0.2
    583       1 haveged          5032  0.2
   2658    2644 ps               4248  0.0
   1063       1 chronyd          3656  0.0
   2644    2643 bash             3640  0.0
   1068    1044 (sd-pam)         3572  0.0
   2642    2024 bash             3556  0.0
    390       1 hv_kvp_daemon    2904  0.1
    955       1 cron             2756  0.0
    971       1 agetty           2148  0.0
    994       1 agetty           2048  0.1
   2643    2642 timeout          2044  0.0
   1072    1063 chronyd          1224  0.0
      2       0 kthreadd            0  0.0
      3       2 pool_workqueue_     0  0.0
      4       2 kworker/R-rcu_g     0  0.0
      5       2 kworker/R-sync_     0  0.0
      6       2 kworker/R-kvfre     0  0.0
      7       2 kworker/R-slub_     0  0.0
      8       2 kworker/R-netns     0  0.0
      9       2 kworker/0:0-cgr     0  0.0
     10       2 kworker/0:0H-ev     0  0.0
     11       2 kworker/0:1-eve     0  0.1
     12       2 kworker/u16:0-e     0  0.1
     13       2 kworker/R-mm_pe     0  0.0
     14       2 ksoftirqd/0         0  0.0
     15       2 rcu_sched           0  0.0
     16       2 rcu_exp_par_gp_     0  0.0
     17       2 rcu_exp_gp_kthr     0  0.0
     18       2 migration/0         0  0.0
     19       2 idle_inject/0       0  0.0
     20       2 cpuhp/0             0  0.0
     21       2 cpuhp/2             0  0.0
     22       2 idle_inject/2       0  0.0
     23       2 migration/2         0  0.5
     24       2 ksoftirqd/2         0  0.0
     25       2 kworker/2:0-cgr     0  0.0
     26       2 kworker/2:0H-ev     0  0.0
     27       2 cpuhp/1             0  0.0
     28       2 idle_inject/1       0  0.0
     29       2 migration/1         0  0.5
     30       2 ksoftirqd/1         0  0.0
     31       2 kworker/1:0-eve     0  0.0
