  PID   UID NAME                       
    1     0 init
    2     0 [kthreadd]
    3     0 [pool_workqueue_release]
    4     0 [kworker/R-rcu_g]
    5     0 [kworker/R-slub_]
    6     0 [kworker/R-netns]
    7     0 [kworker/0:0-events_power_efficient]
    8     0 [kworker/0:1-mm_percpu_wq]
    9     0 [kworker/0:0H-kblockd]
   10     0 [kworker/u8:0-events_unbound]
   11     0 [kworker/u8:1-events_unbound]
   12     0 [kworker/R-mm_pe]
   13     0 [rcu_tasks_kthread]
   14     0 [rcu_tasks_trace_kthread]
   15     0 [ksoftirqd/0]
   16     0 [rcu_preempt]
   17     0 [rcub/0]
   18     0 [rcu_exp_gp_kthread_worker]
   19     0 [rcu_exp_par_gp_kthread_worker]
   20     0 [migration/0]
   21     0 [idle_inject/0]
   22     0 [cpuhp/0]
   23     0 [cpuhp/1]
   24     0 [idle_inject/1]
   25     0 [migration/1]
   26     0 [ksoftirqd/1]
   27     0 [kworker/1:0-virtio_vsock]
   28     0 [kworker/1:0H-kblockd]
   29     0 [cpuhp/2]
   30     0 [idle_inject/2]
   31     0 [migration/2]
   32     0 [ksoftirqd/2]
   33     0 [kworker/2:0-events]
   34     0 [kworker/2:0H-kverityd]
   35     0 [cpuhp/3]
   36     0 [idle_inject/3]
   37     0 [migration/3]
   38     0 [ksoftirqd/3]
   39     0 [kworker/3:0-mm_percpu_wq]
   40     0 [kworker/3:0H-kverityd]
   41     0 [kworker/R-inet_]
   42     0 [kauditd]
   43     0 [khungtaskd]
   44     0 [oom_reaper]
   45     0 [kworker/R-write]
   46     0 [kcompactd0]
   47     0 [khugepaged]
   48     0 [kworker/R-crypt]
   49     0 [kworker/R-kbloc]
   50     0 [kworker/2:1-cgroup_bpf_destroy]
   51     0 [kworker/R-edac-]
   52     0 [kworker/R-devfr]
   53     0 [watchdogd]
   54     0 [kworker/1:1-virtio_vsock]
   55     0 [kworker/0:1H-kverityd]
   56     0 [kswapd0]
   57     0 [kworker/u9:0-fscrypt_read_queue]
   58     0 [erofs_worker/0]
   59     0 [erofs_worker/1]
   60     0 [erofs_worker/2]
   61     0 [erofs_worker/3]
   62     0 [kworker/R-kthro]
   63     0 [dmabuf-deferred-free-worker]
   64     0 [kworker/R-nvme-]
   65     0 [kworker/R-nvme-]
   66     0 [kworker/R-nvme-]
   67     0 [kworker/R-uas]
   68     0 [kworker/R-dm_bu]
   69     0 [kworker/R-mld]
   70     0 [kworker/R-ipv6_]
   71     0 [kworker/R-kstrp]
   73     0 [kworker/3:1-virtio_vsock]
   74     0 [kworker/u8:2-loop13]
   75     0 [khvcd]
   76     0 [hwrng]
   77     0 [jbd2/vdd1-8]
   78     0 [kworker/R-ext4-]
   80     0 [kworker/R-kdmfl]
   81     0 [kworker/R-kdmfl]
   82     0 [kworker/R-kdmfl]
   83     0 [kworker/R-kdmfl]
   84     0 [kworker/R-kdmfl]
   85     0 [kworker/1:1H-kverityd]
   86     0 [kworker/R-kdmfl]
   87     0 [kworker/R-kveri]
   88     0 [kworker/3:1H-kverityd]
   89     0 [kworker/R-ext4-]
   90     0 [kworker/2:1H-kverityd]
   91     0 [kworker/R-ext4-]
   92     0 [kworker/R-ext4-]
   93     0 [kworker/R-ext4-]
   94     0 [kworker/3:2H-kverityd]
   95     0 [kworker/3:3H-kverityd]
   96     0 [kworker/3:4H-kblockd]
   99     0 init
  100     0 ueventd
  154     0 [kworker/R-kdmfl]
  155     0 [kworker/R-kdmfl]
  157     0 [kworker/R-kdmfl]
  158     0 [kworker/R-kdmfl]
  159     0 [kworker/R-kdmfl]
  161     0 [kworker/R-kdmfl]
  163     0 [kworker/R-kdmfl]
  164     0 [kworker/R-kdmfl]
  167     0 [kworker/R-kdmfl]
  168     0 [kworker/R-kdmfl]
  169     0 [kworker/R-kdmfl]
  170     0 [kworker/R-kdmfl]
  172     0 [kworker/R-kdmfl]
  175     0 [kworker/R-kdmfl]
  176     0 [kworker/R-kdmfl]
  177     0 [kworker/R-kdmfl]
  180     0 [kworker/R-kdmfl]
  184     0 [kworker/R-kdmfl]
  188     0 [kworker/R-kdmfl]
  190     0 [kworker/R-kdmfl]
  194     0 [kworker/R-kdmfl]
  196     0 [kworker/R-kdmfl]
  197     0 [kworker/R-kdmfl]
  199     0 [kworker/R-kdmfl]
  206     0 [kworker/u8:3-events_unbound]
  207     0 [kworker/R-ext4-]
  208     0 [kworker/R-ext4-]
  209     0 [kworker/R-ext4-]
  210     0 [kworker/R-ext4-]
  211     0 [kworker/R-ext4-]
  216     0 [kworker/2:2-cgroup_destroy]
  217  1092 prng_seeder
  219     0 [kworker/R-cfg80]
  220  1036 logd
  221     0 [sugov:0]
  222     0 [sugov:1]
  223     0 [sugov:2]
  224     0 [sugov:3]
  225  1069 lmkd
  226  1000 servicemanager
  227  1000 hwservicemanager
  231     0 [psimon]
  236  2000 sh
  239     0 qemu-props
  241     0 [kworker/1:2-virtio_vsock]
  242     0 [irq/18-goldfish_pipe_dprctd]
  243     0 vold
  245     0 [kworker/0:2-virtio_vsock]
  246     0 [kworker/R-kdmfl]
  253  1000 android.system.suspend-service
  254  1017 keystore2
  255  9999 android.hardware.security.keymint-service
  258  1000 android.hardware.gatekeeper-service.nonsecure
  263     0 [kworker/R-usbip]
  280     0 [kworker/R-blk_c]
  282     0 [kworker/u9:1-fscrypt_read_queue]
  286     0 [jbd2/dm-53-8]
  287     0 [kworker/R-ext4-]
  289     0 [kworker/u9:2-fscrypt_read_queue]
  293  1058 tombstoned
  348     0 [kworker/R-ext4-]
  349     0 [kworker/R-kveri]
  350     0 [kworker/R-ext4-]
  351     0 [kworker/R-ext4-]
  352     0 [kworker/R-ext4-]
  353     0 [kworker/R-ext4-]
  354     0 [kworker/R-ext4-]
  355     0 [kworker/R-ext4-]
  356     0 [kworker/R-ext4-]
  357     0 [kworker/R-ext4-]
  358     0 [kworker/R-ext4-]
  359     0 [kworker/R-ext4-]
  360     0 [kworker/R-ext4-]
  361     0 [kworker/R-ext4-]
  362     0 [kworker/R-ext4-]
  363     0 [kworker/R-ext4-]
  364     0 [kworker/R-ext4-]
  365     0 [kworker/R-ext4-]
  366     0 [kworker/R-ext4-]
  367     0 [kworker/R-ext4-]
  368     0 [kworker/R-ext4-]
  369     0 [kworker/R-ext4-]
  370     0 [kworker/R-ext4-]
  371     0 [kworker/R-ext4-]
  372     0 [kworker/R-kveri]
  373     0 [kworker/R-kveri]
  374     0 [kworker/R-kveri]
  375     0 [kworker/R-kveri]
  376     0 [kworker/R-ext4-]
  377     0 [kworker/1:2H]
  378     0 [kworker/R-ext4-]
  379     0 [kworker/R-kveri]
  380     0 [kworker/R-ext4-]
  381     0 [kworker/R-ext4-]
  382     0 [kworker/R-kveri]
  383     0 [kworker/R-ext4-]
  384     0 [kworker/R-kveri]
  385     0 [kworker/R-ext4-]
  386     0 [kworker/R-kveri]
  387     0 [kworker/R-ext4-]
  388     0 [kworker/R-ext4-]
  389     0 [kworker/R-kveri]
  390     0 [kworker/R-kveri]
  391     0 [kworker/R-kveri]
  392     0 [kworker/R-ext4-]
  393     0 [kworker/R-kveri]
  394     0 [kworker/R-ext4-]
  395     0 [kworker/R-ext4-]
  396     0 [kworker/R-kveri]
  397     0 [kworker/R-ext4-]
  398     0 [kworker/R-ext4-]
  399     0 [kworker/R-kveri]
  400     0 [kworker/R-ext4-]
  401     0 [kworker/R-kveri]
  402     0 [kworker/R-kveri]
  403     0 [kworker/R-kveri]
  404     0 [kworker/R-ext4-]
  405     0 [kworker/R-kveri]
  406     0 [kworker/R-ext4-]
  407     0 [kworker/R-kveri]
  408     0 [kworker/R-kveri]
  409     0 [kworker/R-kveri]
  410     0 [kworker/R-ext4-]
  411     0 [kworker/R-ext4-]
  412     0 [kworker/R-ext4-]
  413     0 [kworker/R-ext4-]
  414     0 [kworker/R-ext4-]
  415     0 [kworker/R-kveri]
  416     0 [kworker/0:2H-kverityd]
  417     0 [kworker/R-ext4-]
  418     0 [kworker/R-kveri]
  419     0 [kworker/R-ext4-]
  420     0 [kworker/R-ext4-]
  456     0 netd
  458  1066 statsd
  459     0 zygote64
  466     0 iptables-restore
  467     0 ip6tables-restore
  469  1000 android.hidl.allocator@1.0-service
  470  1041 android.hardware.audio.service
  471  1000 android.hardware.camera.provider.ranchu
  472  1000 android.hardware.camera.provider@2.7-service-google
  473  1000 android.hardware.graphics.allocator-service.ranchu
  476  1000 android.hardware.health-service.example
  477  1013 android.hardware.media.c2@1.0-service-goldfish
  478  1001 android.hardware.radio-service.ranchu
  479  1000 android.hardware.sensors-service.multihal
  480  1000 android.hardware.usb-service.example
  481  1010 android.hardware.wifi-service
  482  1002 android.hardware.bluetooth-service.default
  488  1000 android.hardware.graphics.composer3-service.ranchu
  489  9999 android.hardware.identity-service.example
  490  9999 android.hardware.lights-service.example
  496  1064 android.hardware.authsecret-service.example
  499  1013 android.hardware.cas-service.example
  507  1080 android.hardware.contexthub-service.example
  510  1000 android.hardware.neuralnetworks-service-sample-all
  511  1000 android.hardware.neuralnetworks-service-sample-limited
  512  1000 android.hardware.neuralnetworks-shim-service-sample
  513  9999 android.hardware.power-service.example
  516  1000 android.hardware.power.stats-service.example
  520  1000 android.hardware.rebootescrow-service.default
  522  9999 android.hardware.thermal-service.example
  523  1084 android.hardware.threadnetwork-service
  526  9999 android.hardware.vibrator-service.example
  527  1041 audioserver
  528  1076 credstore
  529  1072 gpuservice
  531  1000 surfaceflinger
  540  2000 adbd
  541  1083 android.hardware.uwb-service
  556  1020 mdnsd
  557  9999 traced_probes
  561  9999 traced
  565  1036 logcat
  566  1002 bt_vhci_forwarder
  568  1047 cameraserver
  572  1067 incidentd
  574     0 installd
  575  1040 media.extractor
  576  1013 media.metrics
  577  1013 mediaserver
  578     0 storaged
  579  1010 wificond
  581  1046 media.swcodec
  589  1000 gatekeeperd
  656  1000 system_server
  825     0 [kworker/2:2H-kblockd]
 1003  1000 android.hardware.biometrics.fingerprint-service.ranchu
 1026  1084 ot-daemon
 1032  1084 ot-rcp
 1051 10124 com.android.systemui
 1054 10129 com.android.permissioncontroller
 1101  1021 android.hardware.gnss-service.ranchu
 1102  1053 webview_zygote
 1134  1073 com.android.networkstack.process
 1174  1002 com.android.bluetooth
 1188  1068 com.android.se
 1204  1001 com.android.phone
 1227 10122 com.android.sdksetup
 1305  1010 wpa_supplicant
 1311  1000 com.android.settings
 1372 10121 com.android.launcher3
 1403 10138 com.android.cellbroadcastreceiver.module
 1442 10073 com.android.cellbroadcastreceiver
 1585     0 [kworker/1:3]
 1637 10140 com.android.providers.media.module
 1652  1000 com.android.emulator.multidisplay
 1654 10077 com.android.documentsui
 1710 10102 com.android.music
 1727 10086 com.android.printspooler
 1736 10113 com.android.inputmethod.latin
 1784  1000 com.android.keychain
 1806 10068 com.android.managedprovisioning
 1835 10062 android.process.acore
 1856 10139 com.android.photopicker
 1875 10064 android.process.media
 1899 10065 com.android.externalstorage
 1927 10079 com.android.providers.calendar
 1993 10106 com.android.quicksearchbox
 1995 10100 com.android.contacts
 2050 10116 com.android.statementservice
 2089 10090 com.android.traceur
 2112 10110 com.android.calendar
 2131  1000 com.android.localtransport
 2164 10144 android.ext.services
 2178 10144 .adservices
 2194 10120 com.android.carrierconfig
 2204 10104 com.android.camera2
 2288 10075 com.android.devicediagnostics
 2311  1000 com.android.dynsystem
 2335 10143 com.android.federatedcompute.services
 2336  1000 com.android.dynsystem:dynsystem
 2382 10099 com.android.imsserviceentitlement
 2404 10107 com.android.messaging
 2454 10142 com.android.ondevicepersonalization.services
 2482 10071 com.android.packageinstaller
 2510 10127 com.android.rkpdapp
 2521 10101 com.android.dialer
 2536  2000 com.android.shell
 2598 10095 com.android.carrierdefaultapp
 2953  2000 abb
 3003 10150 dev.partydeck.app
 4473  2000 ps
