  PID   UID NAME                       
    1     0 init
    2     0 [kthreadd]
    3     0 [pool_workqueue_release]
    4     0 [kworker/R-rcu_g]
    5     0 [kworker/R-slub_]
    6     0 [kworker/R-netns]
    8     0 [kworker/0:1-virtio_vsock]
   10     0 [kworker/u8:0-events_unbound]
   12     0 [kworker/R-mm_pe]
   13     0 [rcu_tasks_kthread]
   14     0 [rcu_tasks_trace_kthread]
   15     0 [ksoftirqd/0]
   16     0 [rcu_preempt]
   17     0 [rcub/0]
   18     0 [rcu_exp_gp_kthread_worker]
   19     0 [rcu_exp_par_gp_kthread_worker]
   20     0 [migration/0]
   21     0 [idle_inject/0]
   22     0 [cpuhp/0]
   23     0 [cpuhp/1]
   24     0 [idle_inject/1]
   25     0 [migration/1]
   26     0 [ksoftirqd/1]
   27     0 [kworker/1:0-virtio_vsock]
   29     0 [cpuhp/2]
   30     0 [idle_inject/2]
   31     0 [migration/2]
   32     0 [ksoftirqd/2]
   34     0 [kworker/2:0H-kblockd]
   35     0 [cpuhp/3]
   36     0 [idle_inject/3]
   37     0 [migration/3]
   38     0 [ksoftirqd/3]
   39     0 [kworker/3:0-events]
   41     0 [kworker/R-inet_]
   42     0 [kauditd]
   43     0 [khungtaskd]
   44     0 [oom_reaper]
   45     0 [kworker/R-write]
   46     0 [kcompactd0]
   47     0 [khugepaged]
   48     0 [kworker/R-crypt]
   49     0 [kworker/R-kbloc]
   51     0 [kworker/R-edac-]
   52     0 [kworker/R-devfr]
   53     0 [watchdogd]
   54     0 [kworker/1:1-virtio_vsock]
   55     0 [kworker/1:1H-kblockd]
   56     0 [kswapd0]
   58     0 [erofs_worker/0]
   59     0 [kworker/2:1-virtio_vsock]
   60     0 [erofs_worker/1]
   61     0 [erofs_worker/2]
   62     0 [erofs_worker/3]
   63     0 [kworker/R-kthro]
   64     0 [dmabuf-deferred-free-worker]
   65     0 [kworker/R-nvme-]
   66     0 [kworker/R-nvme-]
   67     0 [kworker/R-nvme-]
   68     0 [kworker/R-uas]
   69     0 [kworker/R-dm_bu]
   70     0 [kworker/R-mld]
   71     0 [kworker/R-ipv6_]
   72     0 [kworker/R-kstrp]
   74     0 [kworker/u8:2-flush-0:42]
   75     0 [khvcd]
   76     0 [hwrng]
   78     0 [jbd2/vdd1-8]
   79     0 [kworker/R-ext4-]
   82     0 [kworker/R-kdmfl]
   83     0 [kworker/R-kdmfl]
   84     0 [kworker/R-kdmfl]
   85     0 [kworker/R-kdmfl]
   86     0 [kworker/R-kdmfl]
   87     0 [kworker/2:1H-kblockd]
   88     0 [kworker/R-kdmfl]
   89     0 [kworker/R-kveri]
   91     0 [kworker/R-ext4-]
   93     0 [kworker/3:3H-kverityd]
   94     0 [kworker/R-ext4-]
   95     0 [kworker/R-ext4-]
   96     0 [kworker/R-ext4-]
   98     0 [kworker/0:2H-kblockd]
  102     0 init
  103     0 ueventd
  157     0 [kworker/R-kdmfl]
  158     0 [kworker/R-kdmfl]
  160     0 [kworker/R-kdmfl]
  161     0 [kworker/R-kdmfl]
  162     0 [kworker/R-kdmfl]
  164     0 [kworker/R-kdmfl]
  166     0 [kworker/R-kdmfl]
  167     0 [kworker/R-kdmfl]
  170     0 [kworker/R-kdmfl]
  171     0 [kworker/R-kdmfl]
  172     0 [kworker/R-kdmfl]
  173     0 [kworker/R-kdmfl]
  175     0 [kworker/R-kdmfl]
  178     0 [kworker/R-kdmfl]
  179     0 [kworker/R-kdmfl]
  180     0 [kworker/R-kdmfl]
  183     0 [kworker/R-kdmfl]
  187     0 [kworker/R-kdmfl]
  191     0 [kworker/R-kdmfl]
  193     0 [kworker/R-kdmfl]
  197     0 [kworker/R-kdmfl]
  199     0 [kworker/R-kdmfl]
  200     0 [kworker/R-kdmfl]
  202     0 [kworker/R-kdmfl]
  209     0 [kworker/R-ext4-]
  210     0 [kworker/R-ext4-]
  211     0 [kworker/R-ext4-]
  212     0 [kworker/R-ext4-]
  213     0 [kworker/u8:3-events_unbound]
  214     0 [kworker/R-ext4-]
  219  1092 prng_seeder
  221     0 [kworker/R-cfg80]
  222     0 [sugov:0]
  223     0 [sugov:1]
  224     0 [sugov:2]
  225     0 [sugov:3]
  226  1036 logd
  227  1069 lmkd
  228  1000 servicemanager
  229  1000 hwservicemanager
  230     0 [psimon]
  234  2000 sh
  239     0 qemu-props
  243     0 [irq/18-goldfish_pipe_dprctd]
  244     0 [kworker/2:2-events]
  245     0 vold
  247     0 [kworker/R-kdmfl]
  252     0 [kworker/0:2-mm_percpu_wq]
  254  1000 android.system.suspend-service
  255  1017 keystore2
  256  9999 android.hardware.security.keymint-service
  259  1000 android.hardware.gatekeeper-service.nonsecure
  261     0 [kworker/R-usbip]
  281     0 [kworker/R-blk_c]
  283     0 [kworker/u9:1-fscrypt_read_queue]
  288     0 [jbd2/dm-53-8]
  289     0 [kworker/R-ext4-]
  295  1058 tombstoned
  350     0 [kworker/R-ext4-]
  351     0 [kworker/R-kveri]
  352     0 [kworker/R-kveri]
  353     0 [kworker/R-ext4-]
  354     0 [kworker/R-ext4-]
  355     0 [kworker/R-ext4-]
  356     0 [kworker/R-ext4-]
  357     0 [kworker/R-ext4-]
  358     0 [kworker/R-ext4-]
  359     0 [kworker/R-ext4-]
  360     0 [kworker/R-ext4-]
  361     0 [kworker/R-ext4-]
  362     0 [kworker/R-ext4-]
  363     0 [kworker/R-ext4-]
  364     0 [kworker/R-ext4-]
  365     0 [kworker/R-ext4-]
  366     0 [kworker/R-ext4-]
  367     0 [kworker/R-ext4-]
  368     0 [kworker/R-ext4-]
  369     0 [kworker/R-ext4-]
  370     0 [kworker/R-ext4-]
  371     0 [kworker/R-ext4-]
  372     0 [kworker/R-ext4-]
  373     0 [kworker/R-ext4-]
  374     0 [kworker/R-kveri]
  375     0 [kworker/R-ext4-]
  376     0 [kworker/R-kveri]
  377     0 [kworker/R-ext4-]
  378     0 [kworker/R-kveri]
  379     0 [kworker/R-ext4-]
  380     0 [kworker/R-kveri]
  381     0 [kworker/R-ext4-]
  382     0 [kworker/R-ext4-]
  383     0 [kworker/R-kveri]
  384     0 [kworker/R-ext4-]
  385     0 [kworker/R-kveri]
  386     0 [kworker/R-kveri]
  387     0 [kworker/R-ext4-]
  388     0 [kworker/R-ext4-]
  389     0 [kworker/R-kveri]
  390     0 [kworker/R-kveri]
  391     0 [kworker/R-kveri]
  392     0 [kworker/R-ext4-]
  393     0 [kworker/R-ext4-]
  394     0 [kworker/R-kveri]
  395     0 [kworker/R-kveri]
  396     0 [kworker/R-ext4-]
  397     0 [kworker/R-kveri]
  398     0 [kworker/R-ext4-]
  399     0 [kworker/R-ext4-]
  400     0 [kworker/R-ext4-]
  401     0 [kworker/R-ext4-]
  402     0 [kworker/R-kveri]
  403     0 [kworker/R-kveri]
  404     0 [kworker/R-ext4-]
  405     0 [kworker/R-kveri]
  406     0 [kworker/R-ext4-]
  407     0 [kworker/R-kveri]
  408     0 [kworker/R-ext4-]
  409     0 [kworker/R-ext4-]
  410     0 [kworker/R-kveri]
  411     0 [kworker/R-kveri]
  412     0 [kworker/R-ext4-]
  413     0 [kworker/R-kveri]
  414     0 [kworker/R-kveri]
  415     0 [kworker/R-ext4-]
  416     0 [kworker/R-kveri]
  417     0 [kworker/R-ext4-]
  418     0 [kworker/R-ext4-]
  419     0 [kworker/R-ext4-]
  420     0 [kworker/R-ext4-]
  455     0 netd
  457  1066 statsd
  458     0 zygote64
  460     0 iptables-restore
  461     0 ip6tables-restore
  468  1000 android.hidl.allocator@1.0-service
  469  1041 android.hardware.audio.service
  470  1000 android.hardware.camera.provider.ranchu
  471  1000 android.hardware.camera.provider@2.7-service-google
  472  1000 android.hardware.graphics.allocator-service.ranchu
  473  1000 android.hardware.health-service.example
  476  1013 android.hardware.media.c2@1.0-service-goldfish
  482  1001 android.hardware.radio-service.ranchu
  487  1000 android.hardware.sensors-service.multihal
  490  1000 android.hardware.usb-service.example
  491  1010 android.hardware.wifi-service
  492  1002 android.hardware.bluetooth-service.default
  493  1000 android.hardware.graphics.composer3-service.ranchu
  494  9999 android.hardware.identity-service.example
  495  9999 android.hardware.lights-service.example
  496  1064 android.hardware.authsecret-service.example
  502  1013 android.hardware.cas-service.example
  506  1080 android.hardware.contexthub-service.example
  509  1000 android.hardware.neuralnetworks-service-sample-all
  512  1000 android.hardware.neuralnetworks-service-sample-limited
  514  1000 android.hardware.neuralnetworks-shim-service-sample
  518  9999 android.hardware.power-service.example
  519  1000 android.hardware.power.stats-service.example
  520  1000 android.hardware.rebootescrow-service.default
  523  9999 android.hardware.thermal-service.example
  524  1084 android.hardware.threadnetwork-service
  525  9999 android.hardware.vibrator-service.example
  526  1041 audioserver
  527  1076 credstore
  528  1072 gpuservice
  530  1000 surfaceflinger
  539  2000 adbd
  540  1083 android.hardware.uwb-service
  557  1020 mdnsd
  563  9999 traced_probes
  567  9999 traced
  572  1036 logcat
  573  1002 bt_vhci_forwarder
  574  1047 cameraserver
  577  1067 incidentd
  579     0 installd
  588  1040 media.extractor
  589  1013 media.metrics
  592  1013 mediaserver
  594     0 storaged
  596  1010 wificond
  598  1046 media.swcodec
  599  1000 gatekeeperd
  651  1000 system_server
  658     0 [kworker/3:7H-kblockd]
  663     0 [kworker/0:5H]
  724     0 [kworker/1:2H-kverityd]
  725     0 [kworker/u9:3-fscrypt_read_queue]
  994  1000 android.hardware.biometrics.fingerprint-service.ranchu
 1017  1084 ot-daemon
 1024  1084 ot-rcp
 1041 10124 com.android.systemui
 1042 10129 com.android.permissioncontroller
 1092  1021 android.hardware.gnss-service.ranchu
 1103  1053 webview_zygote
 1153  1073 com.android.networkstack.process
 1195  1002 com.android.bluetooth
 1204  1068 com.android.se
 1224  1001 com.android.phone
 1238 10121 com.android.sdksetup
 1274  1010 wpa_supplicant
 1303  1000 com.android.settings
 1363 10122 com.android.launcher3
 1367 10143 com.android.cellbroadcastreceiver.module
 1424 10073 com.android.cellbroadcastreceiver
 1527 10113 com.android.inputmethod.latin
 1601 10137 com.android.providers.media.module
 1606 10088 com.android.printspooler
 1617  1000 com.android.emulator.multidisplay
 1644 10078 com.android.documentsui
 1651 10102 com.android.music
 1752 10062 android.process.media
 1762  1000 com.android.keychain
 1776 10136 com.android.photopicker
 1795 10063 android.process.acore
 1819 10067 com.android.managedprovisioning
 1840 10066 com.android.externalstorage
 1874 10079 com.android.providers.calendar
 1906 10110 com.android.quicksearchbox
 1909 10099 com.android.contacts
 1972  1000 com.android.localtransport
 2001 10120 com.android.carrierconfig
 2056 10116 com.android.statementservice
 2151 10093 com.android.traceur
 2190 10108 com.android.calendar
 2220 10138 .adservices
 2244 10098 com.android.imsserviceentitlement
 2273 10106 com.android.camera2
 2293 10075 com.android.devicediagnostics
 2312 10100 com.android.dialer
 2347  1000 com.android.dynsystem
 2367     0 [kworker/3:2-virtio_vsock]
 2375 10138 android.ext.services
 2377 10147 com.android.federatedcompute.services
 2380  1000 com.android.dynsystem:dynsystem
 2461 10094 com.android.carrierdefaultapp
 2476 10146 com.android.ondevicepersonalization.services
 2494 10071 com.android.packageinstaller
 2507 10135 com.android.rkpdapp
 2522  2000 com.android.shell
 2539 10109 com.android.messaging
 2907  2000 abb
 2951 10150 dev.partydeck.app
 7400     0 [kworker/1:2-virtio_vsock]
 9190     0 [kworker/u8:1-events_unbound]
 9397  2000 ps
